City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,Morondava,-20.2833,44.2833,25.26,77,77,5.16,MG,2022-12-05 00:06:39
28,Saint-Philippe,-21.3585,55.7679,22.77,84,67,3.29,RE,2022-12-05 00:06:39
29,Zhuanghe,39.7008,122.9911,-4.5,45,0,1.71,CN,2022-12-05 00:06:40
30,Sorong,-0.8833,131.25,27.16,79,100,2.54,ID,2022-12-05 00:06:40
31,Vaini,-21.2,-175.2,25.09,94,75,4.63,TO,2022-12-05 00:04:05
32,Atuona,-9.8,-139.0333,25.26,80,11,8.71,PF,2022-12-05 00:04:02
33,Broome,42.2506,-75.833,0.47,71,0,2.57,US,2022-12-05 00:06:41
34,Punta Arenas,-53.15,-70.9167,7.84,61,53,9.2,CL,2022-12-05 00:02:45
35,Avarua,-21.2078,-159.775,28.03,78,100,3.09,CK,2022-12-05 00:05:19
36,Busselton,-33.65,115.3333,17.18,66,100,5.45,AU,2022-12-05 00:05:25
37,Peniche,39.3558,-9.3811,13.49,89,99,7.55,PT,2022-12-05 00:02:48
38,Mudon,16.2578,97.7164,23.55,86,100,1.96,MM,2022-12-05 00:06:42
39,Hithadhoo,-0.6,73.0833,27.55,75,100,4.3,MV,2022-12-05 00:06:42
40,Port Macquarie,-31.4333,152.9167,26.05,59,12,3.61,AU,2022-12-05 00:05:17
41,Mataura,-46.1927,168.8643,10.27,62,100,1.4,NZ,2022-12-05 00:04:08
42,Najran,17.4924,44.1277,13.54,46,0,0.75,SA,2022-12-05 00:06:42
43,Seoul,37.5683,126.9778,-5.31,22,100,2.33,KR,2022-12-05 00:06:43
44,Cape Town,-33.9258,18.4232,16.86,65,17,4.92,ZA,2022-12-05 00:00:19
45,Jamestown,42.097,-79.2353,0.01,62,0,4.12,US,2022-12-05 00:06:43
46,Kaitangata,-46.2817,169.8464,12.25,64,100,1.25,NZ,2022-12-05 00:07:44
47,Libertador General San Martin,-23.8064,-64.7876,26.52,39,53,1.94,AR,2022-12-05 00:07:44
48,New Norfolk,-42.7826,147.0587,11.72,69,100,1.34,AU,2022-12-05 00:05:29
49,Laguna,38.421,-121.4238,14.05,87,75,3.6,US,2022-12-05 00:07:04
50,Bubaque,11.2833,-15.8333,26.46,72,97,5.98,GW,2022-12-05 00:07:45
51,Almeria,37.1667,-2.3333,9.09,80,40,0.97,ES,2022-12-05 00:07:45
52,Puerto Maldonado,-12.6,-69.1833,25.41,73,10,1.3,PE,2022-12-05 00:07:45
53,Khatanga,71.9667,102.5,-17.92,98,100,2.55,RU,2022-12-05 00:05:20
54,Manokwari,-0.8667,134.0833,26.92,79,100,1.4,ID,2022-12-05 00:07:46
55,Ballina,-28.8667,153.5667,25.56,70,43,3.6,AU,2022-12-05 00:07:46
56,Maldonado,-34.6667,-54.9167,20.68,93,0,2.75,UY,2022-12-05 00:07:47
57,Albany,42.6001,-73.9662,-0.71,75,58,1.48,US,2022-12-05 00:07:35
58,Puerto Del Rosario,28.5004,-13.8627,19.86,83,0,6.69,ES,2022-12-05 00:07:47
59,Wasilla,61.5814,-149.4394,-4.28,86,100,3.09,US,2022-12-05 00:02:50
60,Port Alfred,-33.5906,26.891,17.88,90,100,0.45,ZA,2022-12-05 00:07:48
61,Boa Vista,2.8197,-60.6733,22.88,94,100,1.29,BR,2022-12-05 00:05:08
62,Cockburn Town,21.4612,-71.1419,23.98,60,75,3.6,TC,2022-12-05 00:07:48
63,Itaborai,-22.7444,-42.8594,26.76,87,100,1.8,BR,2022-12-05 00:07:48
64,Los Llanos De Aridane,28.6585,-17.9182,17.86,96,75,9.77,ES,2022-12-05 00:07:49
65,Torbay,47.6666,-52.7314,2.54,86,59,4.92,CA,2022-12-05 00:05:40
66,Carnarvon,-24.8667,113.6333,22.24,71,31,6.8,AU,2022-12-05 00:05:26
67,Ugoofaaru,5.6667,73.0,26.06,79,100,4.03,MV,2022-12-05 00:07:50
68,Rawson,-43.3002,-65.1023,22.37,31,19,5.23,AR,2022-12-05 00:07:50
69,Kismayo,-0.3582,42.5454,25.69,83,24,4.25,SO,2022-12-05 00:07:50
70,Conakry,9.538,-13.6773,26.92,76,71,0.96,GN,2022-12-05 00:07:50
71,Talakan,50.3167,130.3667,-28.56,98,41,1.14,RU,2022-12-05 00:07:51
